year,month_number,month,month_start,month_year,total_income,total_expenses,transaction_count,cash_withdrawal,net_savings,savings_rate,avg_daily_spend,recurring_expense,top_category
2025,4,April,2025-04-01,Apr 2025,77097.2,76996.0,148,11000.0,101.2,0.0,2566.53,8890.11,Transfers
2025,5,May,2025-05-01,May 2025,72599.31,76909.64,152,11000.0,-4310.33,-0.06,2480.96,11423.89,Transfers
2025,6,June,2025-06-01,Jun 2025,101854.16,102142.68,255,11200.0,-288.52,-0.0,3404.76,6245.63,Investments/FD
2025,7,July,2025-07-01,Jul 2025,43107.0,43407.35,142,0.0,-300.35,-0.01,1400.24,5393.38,Transfers
2025,8,August,2025-08-01,Aug 2025,81006.15,90583.15,202,10000.0,-9577.0,-0.12,2922.04,10175.26,Transfers
2025,9,September,2025-09-01,Sep 2025,50368.17,36817.17,175,0.0,13551.0,0.27,1227.24,11195.36,Transfers
2025,10,October,2025-10-01,Oct 2025,61490.9,53576.21,176,10000.0,7914.69,0.13,1728.26,6986.18,Transfers
2025,11,November,2025-11-01,Nov 2025,59407.1,71556.16,194,11000.0,-12149.06,-0.2,2385.21,10236.6,Transfers
2025,12,December,2025-12-01,Dec 2025,51569.13,51485.68,160,11000.0,83.45,0.0,1660.83,3704.23,Transfers
2026,1,January,2026-01-01,Jan 2026,69941.0,64025.08,166,0.0,5915.92,0.08,2065.33,8800.4,Transfers
2026,2,February,2026-02-01,Feb 2026,88311.81,89160.81,219,0.0,-849.0,-0.01,3184.31,10161.4,Transfers
2026,3,March,2026-03-01,Mar 2026,88319.35,104469.59,205,12500.0,-16150.24,-0.18,3369.99,18301.07,Transfers
